fidN200,Cluster_code,ADM1NAMEC254,URBAN_RURAC254,LATNUMN2415,LONGNUMN2415,CorrectedLatitude,CorrectedLongitude,Estimated_dislocation_km,Suburb_town_village,regionC254,educationN2415,time2waterN2415,time2wat_1N2415,electricitN2415,radio_fN2415,tv_fN2415,refridgeraN2415,bicycle_fN2415,motorcycleN2415,car_fN2415,V005_sumN2415,chborn_meaN2415,chdied_meaN2415,poorest_meN2415,poorer_meaN2415,middle_meaN2415,richer_meaN2415,richest_meN2415,discard_houshold_iN100,gini2aN2415,meiEAN2415,fidN200_A,Very_poor,Poor,Average,Wealthy,Very_wealthy,Total_ratings,Median_rating,Poorest_weight,poor_weight,Middle_weight,Wealthy_weight,Wealthiest_weight,buildings_size,roofing_material,roofingcondition,larger_buildings,settlement_structure,building_density,greenery,dominant_landuse,image_colour,road_surface_quality,road_width,roads_coverage,vehicles_presence,farm_sizes,hv270_1_poorest,hv270_2_poor,hv270_3_middle,hv270_4_rich,hv270_5_richest,household_total,mean_score270_comb_R_U,mean270_R_U_separated,median_score_comb_R_U_270,median270a_U_R_separated,Recoded_building_size,Recoded_roofing_mat,Recoded_Roofing_condition,Recoded_Taller_Buildings,Recoded_Gridded,Recoded_clustered,Recoded_scattered,Recoded_low_building_density,Recoded_medium_building_density,Recoded_high_building_density,Recoded_low_greenery,Recoded_medium_greenery,Recoded_high_greenery,Recoded_barelands_dominant,Recoded_agriculture_dominant,Recoded_builtup_dominant,Recoded_image_colouration,Recoded_tarred_road,Recoded_untarred_road,Recoded_wider_roads,Recoded_narrow_roads,Recoded_low_road_coverage,Recoded_high_road_coverage,Recoded_farms_Absent,Recoded_smallfarms,Recoded_largefarms,Recoded_vehicular_presence,Recoded_web_welfare_quintiles,PRE_1,PCP_1
45852,TZ011,Dodoma,U,-6.404,35.909,-6.393,35.903,1.35,Mvumi Mission,Dodoma,2,3.667,7.669,0.105,0.368,0.158,0,0.421,0,0,21346937,3.474,0.895,0.211,0.158,0.158,0.263,0.211,19,0.254,220860.632,45852,1,10,16,7,0,34,3,0.029411764705883,0.294117647058824,0.470588235294118,0.205882352941176,0,1,2,2,2,2,2,2,3,3,1,2,2,1,3,3,3,5,8,3,22,3,1,4,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,3,3,0.48
45853,TZ012,Dodoma,R,-6.494,35.946,-6.486,35.962,1.94,Ikombolinga,Dodoma,2,208,95.184,0,0.267,0,0,0.667,0,0,24280320,3.6,0.867,0.667,0.133,0.2,0,0,15,0.08,136394.867,45853,0,16,15,3,0,34,3,0,0.470588235294118,0.441176470588235,0.088235294117648,0,1,2,2,2,2,2,2,1,1,1,2,3,0,3,14,3,3,0,0,20,1,2,1,2,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,3,2,0.48
45854,TZ013,Dodoma,R,-6.04,35.686,-6.065,35.754,7.81,Msalato,Dodoma,2,28.083,27.741,0,0,0,0,0.333,0,0,18349680,2.25,0.333,0.25,0.167,0.5,0.83,0,12,0.093,165937.667,45854,1,7,21,6,0,35,3,0.028571428571429,0.2,0.6,0.171428571428571,0,2,2,2,2,1,2,2,3,1,2,3,3,0,3,7,7,6,1,0,21,2,3,2,3,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,3,3,0.5
45855,TZ014,Dodoma,R,-6.249,35.822,-6.245,35.822,0.59,Nghong'onha,Dodoma,1,14.762,13.084,0,0.476,0.19,0,0.524,0.143,0,45890733,3.238,0.381,0,0.143,0.238,0.619,0,21,0.096,208920.714,45855,6,19,10,1,0,36,2,0.166666666666667,0.527777777777778,0.277777777777778,0.027777777777778,0,2,2,1,1,2,2,2,3,1,1,2,1,0,3,0,3,7,11,0,21,3,4,4,5,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,2,2,0.54
45856,TZ015,Dodoma,U,-6.213,35.757,-6.219,35.758,0.7,Ntyuka,Dodoma,2,0,0,0.045,0.591,0.045,0,0.409,0.045,0.091,42614792,2.455,0.182,0,0,0.136,0.682,0.182,22,0.115,275976.091,45856,0,19,12,4,0,35,2,0,0.542857142857143,0.342857142857143,0.114285714285714,0,2,2,2,99,2,2,2,1,3,1,1,2,0,3,0,0,2,14,6,22,4,2,4,2,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,2,2,0.44
45857,TZ016,Dodoma,U,-6.076,35.52,-6.064,35.542,2.6,Chigongwe,Dodoma,2,82.727,76.202,0,0.077,0,0,0.154,0.077,0,13006552,3.923,1.077,0.769,0.77,0.77,0.77,0,13,0.279,109149.539,45857,5,15,11,3,1,35,2,0.142857142857143,0.428571428571429,0.314285714285714,0.085714285714286,0.028571428571429,1,2,1,1,2,1,2,2,3,1,1,1,0,2,15,2,2,3,0,22,2,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,2,2,0.61
45858,TZ017,Dodoma,R,-5.655,35.667,-5.629,35.699,4.5,Babayu,Dodoma,3,33.889,16.588,0,0.619,0.143,0,0.619,0,0,41070603,2.429,0.333,0.95,0.48,0.286,0.571,0,21,0.151,228298.429,45858,2,10,18,5,0,35,3,0.057142857142858,0.28571428571429,0.514285714285714,0.142857142857143,0,2,2,1,2,1,2,2,3,1,1,2,2,0,3,3,2,8,9,0,22,3,4,3,4,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,3,3,0.45
45859,TZ018,Dodoma,R,-6.125,35.403,-6.12,35.391,1.48,Chimendel,Dodoma,2,136.579,157.798,0,0.421,0.053,0,0.211,0.053,0,49562127,2.316,0.316,0.632,0.263,0,0.53,0.53,19,0.127,147821.474,45859,14,10,5,4,2,35,2,0.4,0.28571428571429,0.142857142857143,0.114285714285714,0.057142857142858,1,2,2,1,2,1,1,2,1,1,2,3,0,2,16,4,0,1,1,22,2,2,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,2,2,0.6
45860,TZ019,Dodoma,R,-5.087,35.159,-5.103,35.148,2.15,Kinyamshindo,Dodoma,2,57.813,47.151,0.053,0.368,0.105,0,0.368,0.105,0,22380385,3.895,0.263,0.368,0.263,0,0.368,0,19,0.187,172487,45860,1,16,14,3,0,34,2.5,0.029411764705883,0.470588235294118,0.411764705882353,0.088235294117648,0,1,2,1,1,2,1,2,1,3,1,2,2,0,3,8,5,0,7,0,20,2,3,2,2,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,3,2,0.61
45861,TZ020,Dodoma,R,-5.219,36.163,-5.221,36.162,0.26,Soya,Dodoma,2,30,32.914,0.143,0.5,0.071,0.071,0.357,0.071,0,25274648,3.071,0.643,0,0.71,0.571,0.286,0.71,14,0.126,204372.357,45861,6,18,7,1,1,33,2,0.181818181818182,0.545454545454545,0.212121212121212,0.030303030303031,0.030303030303031,2,2,1,2,1,2,2,3,1,1,2,1,0,2,1,3,12,4,2,22,3,4,3,4,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,2,2,0.51
