fidN200,Cluster_code,ADM1NAMEC254,URBAN_RURAC254,LATNUMN2415,LONGNUMN2415,CorrectedLatitude,CorrectedLongitude,Estimated_dislocation_km,Suburb_town_village,regionC254,educationN2415,time2waterN2415,time2wat_1N2415,electricitN2415,radio_fN2415,tv_fN2415,refridgeraN2415,bicycle_fN2415,motorcycleN2415,car_fN2415,V005_sumN2415,chborn_meaN2415,chdied_meaN2415,poorest_meN2415,poorer_meaN2415,middle_meaN2415,richer_meaN2415,richest_meN2415,discard_houshold_iN100,gini2aN2415,meiEAN2415,fidN200_A,Very_poor,Poor,Average,Wealthy,Very_wealthy,Total_ratings,Median_rating,Poorest_weight,poor_weight,Middle_weight,Wealthy_weight,Wealthiest_weight,buildings_size,roofing_material,roofingcondition,larger_buildings,settlement_structure,building_density,greenery,dominant_landuse,image_colour,road_surface_quality,road_width,roads_coverage,vehicles_presence,farm_sizes,hv270_1_poorest,hv270_2_poor,hv270_3_middle,hv270_4_rich,hv270_5_richest,household_total,mean_score270_comb_R_U,mean270_R_U_separated,median_score_comb_R_U_270,median270a_U_R_separated,Recoded_building_size,Recoded_roofing_mat,Recoded_Roofing_condition,Recoded_Taller_Buildings,Recoded_Gridded,Recoded_clustered,Recoded_scattered,Recoded_low_building_density,Recoded_medium_building_density,Recoded_high_building_density,Recoded_low_greenery,Recoded_medium_greenery,Recoded_high_greenery,Recoded_barelands_dominant,Recoded_agriculture_dominant,Recoded_builtup_dominant,Recoded_image_colouration,Recoded_tarred_road,Recoded_untarred_road,Recoded_wider_roads,Recoded_narrow_roads,Recoded_low_road_coverage,Recoded_high_road_coverage,Recoded_farms_Absent,Recoded_smallfarms,Recoded_largefarms,Recoded_vehicular_presence,Recoded_web_welfare_quintiles,PRE_1,PCP_1
45973,TZ132,Dar es Salaam,U,-6.813,39.15,-6.82,39.154,0.92,Bonyoka,Dar Es Salaam,3,104.821,188.922,0.571,0.786,0.536,0.5,0.179,0.107,0.286,67908708,1.679,0.179,0,0,0,0.179,0.821,28,0.093,379816.679,45973,0,0,1,1,0,2,3.5,0,0,0.5,0.5,0,2,3,1,2,1,2,2,3,3,1,2,1,2,1,0,0,0,4,18,22,5,4,5,4,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,4,3,0.5
45974,TZ133,Dar es Salaam,U,-6.798,39.267,-6.802,39.275,1.02,Upanga West,Dar Es Salaam,2,0,0,0.667,0.5,0.611,0.167,0.056,0.056,0,39283704,1.5,0.222,0,0,0,0.111,0.889,18,0.077,381921.722,45974,0,0,0,0,2,2,5,0,0,0,0,1,2,3,2,2,3,3,3,5,3,2,3,3,2,3,0,0,0,3,19,22,5,4,5,4,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,5,4,0.62
45975,TZ134,Dar es Salaam,U,-6.805,39.178,-6.806,39.17,1.07,Kimara,Dar Es Salaam,3,0,0,0.95,0.95,0.95,0.6,0.1,0.05,0.3,22371840,1.4,0.05,0,0,0,0,0,20,0.042,432714.3,45975,0,0,1,1,0,2,3.5,0,0,0.5,0.5,0,2,3,2,2,1,3,2,3,3,1,1,1,0,1,0,0,0,1,20,21,5,4,5,5,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,4,3,0.49
45976,TZ135,Dar es Salaam,U,-6.81,39.109,-6.801,39.119,1.56,Msigani,Dar Es Salaam,2,234.484,223.981,0.515,0.576,0.545,0.303,0.061,0.152,0.242,67033659,1.939,0.394,0,0,0,0.33,0.697,33,0.107,372532.97,45976,0,1,1,0,0,2,2.5,0,0.5,0.5,0,0,2,3,2,2,3,2,3,3,3,1,1,2,1,1,0,0,0,6,14,20,5,4,5,4,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,3,4,0.48
45977,TZ136,Dar es Salaam,U,-6.7,39.135,-6.705,39.134,0.81,Kulangwa,Dar Es Salaam,3,62.042,102.37,0.68,0.68,0.6,0.28,0.24,0.08,0.24,64930575,1.76,0.08,0,0,0,0.44,0.56,25,0.125,354152.64,45977,0,0,0,2,0,2,4,0,0,0,1,0,1,3,2,1,3,2,3,3,3,1,2,3,1,1,0,0,0,8,13,21,5,3,5,3,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,4,3,0.47
45978,TZ137,Dar es Salaam,U,-6.87,39.167,-6.879,39.168,0.9,Ukonga,Dar Es Salaam,3,17,25.204,0.952,0.857,0.905,0.429,0.286,0.048,0.095,46464600,1.857,0.286,0,0,0,0,0,21,0.033,401606.619,45978,1,0,1,0,0,2,2,0.5,0,0.5,0,0,1,2,3,1,1,3,2,3,3,2,3,1,2,3,0,0,0,0,22,22,5,4,5,4,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,2,3,0.43
45979,TZ138,Dar es Salaam,U,-6.837,39.236,-6.84,39.242,0.72,Kilawani 1,Dar Es Salaam,2,6.667,19.403,0.55,0.5,0.5,0.3,0,0.15,0,32821380,1.35,0.1,0,0,0,0.35,0.65,20,0.08,358030.3,45979,0,2,0,0,0,2,2,0,1,0,0,0,1,2,3,1,1,3,1,3,1,2,2,2,2,3,0,0,0,4,17,21,5,3,5,3,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,2,2,0.45
45980,TZ139,Dar es Salaam,U,-6.827,39.249,-6.835,39.252,0.91,Bungoni 1,Dar Es Salaam,2,8.421,27.941,0.857,0.762,0.905,0.571,0.381,0.095,0.238,22331169,1.619,0.238,0,0,0,0.95,0.95,21,0.06,416189.714,45980,0,2,0,0,0,2,2,0,1,0,0,0,2,2,3,2,1,3,1,3,1,2,2,2,2,3,0,0,0,1,16,17,5,4,5,4,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,2,3,0.49
45981,TZ140,Dar es Salaam,U,-6.843,39.227,6.846,39.229,0.42,Vingunguti,Dar Es Salaam,2,3.353,8.054,0.889,0.667,0.722,0.5,0.056,0.111,0,27266994,1.722,0,0,0,0,0.56,0.944,18,0.046,384235.444,45981,0,0,2,0,0,2,3,0,0,1,0,0,1,2,3,1,1,3,2,3,3,2,2,1,2,3,0,0,0,1,17,18,5,4,5,4,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,3,2,0.51
45982,TZ141,Dar es Salaam,U,-6.832,39.248,-6.833,39.243,0.64,Bungoni 2,Dar Es Salaam,2,3.421,6.248,1,0.737,0.737,0.632,0.158,0,0.053,27325591,1.526,0.053,0,0,0,0,0,19,0.035,399811,45982,1,1,0,0,0,2,1.5,0.5,0.5,0,0,0,2,2,3,2,1,3,1,3,3,1,2,1,2,3,0,0,0,2,12,14,5,4,5,4,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,2,3,0.45
45983,TZ142,Dar es Salaam,U,-6.811,39.277,-6.808,39.284,0.8,Upanga East,Dar Es Salaam,3,0,0,0.895,0.737,0.895,0.895,0.263,0,0.579,111941825,1.105,0,0,0,0,0,0,19,0.034,466152.053,45983,0,0,1,1,0,2,3.5,0,0,0.5,0.5,0,2,3,2,2,3,3,2,5,3,2,3,3,2,3,0,0,0,0,12,12,5,5,5,5,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,4,4,0.54
45984,TZ143,Dar es Salaam,U,-6.843,39.199,-6.842,39.192,0.84,Segerea,Dar Es Salaam,3,17.435,20.738,0.833,0.667,0.75,0.625,0.333,0,0.5,41462184,1.042,0.167,0,0,0,0.42,0.958,24,0.078,421709.042,45984,0,0,0,2,0,2,4,0,0,0,1,0,2,3,2,2,1,2,3,3,3,1,3,2,2,1,0,0,0,1,21,22,5,4,5,5,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,4,4,0.55
45985,TZ144,Dar es Salaam,U,-6.908,39.222,-6.912,39.21,1.43,Mzinga,Dar Es Salaam,2,0,0,0.771,0.714,0.686,0.4,0.286,0.143,0.257,70659715,1.971,0.114,0,0,0,0.86,0.914,35,0.077,388024.886,45985,0,0,0,2,0,2,4,0,0,0,1,0,2,3,2,2,3,2,3,3,3,1,3,2,0,3,0,0,0,3,17,20,5,4,5,4,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,4,4,0.57
45986,TZ145,Dar es Salaam,U,-6.84,39.15,-6.851,39.156,1.29,Kinyerezi,Dar Es Salaam,3,4.318,4.912,0.565,0.783,0.565,0.435,0.391,0.348,0,85135029,1.304,0.043,0,0,0,0.217,0.783,23,0.09,378986.957,45986,0,0,0,2,0,2,4,0,0,0,1,0,2,3,2,2,3,2,3,3,3,1,3,3,2,1,0,0,0,7,12,19,5,3,5,3,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,4,4,0.56
45987,TZ146,Dar es Salaam,U,-6.954,39.14,-6.969,39.147,1.73,Mbondele,Dar Es Salaam,2,22.375,18.118,0.063,0.563,0.125,0,0.313,0.188,0,20389536,2.5,0.25,0.63,0,0,0.625,0.313,16,0.114,279793.563,45987,0,0,2,0,0,2,3,0,0,1,0,0,1,2,1,1,2,2,2,2,3,1,2,2,0,2,2,0,0,14,4,20,4,2,4,2,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,3,3,0.45
45988,TZ147,Dar es Salaam,U,-6.832,39.312,-6.824,39.309,0.98,Kigamboni,Dar Es Salaam,3,233.471,235.271,0.765,0.706,0.588,0.412,0.294,0.176,0.294,28960554,1.235,0.118,0,0,0,0.118,0.882,17,0.076,391858.059,45988,0,0,2,0,0,2,3,0,0,1,0,0,2,2,3,2,3,3,3,3,3,1,3,2,1,3,0,0,0,4,18,22,5,4,5,4,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,3,4,0.45
45989,TZ148,Dar es Salaam,U,-6.902,39.264,-6.898,39.262,0.6,Kipara 1,Dar Es Salaam,2,4.118,8.146,0.5,0.667,0.444,0,0,0,0,31670568,1.889,0.278,0,0,0,0.444,0.556,18,0.065,339166,45989,0,0,1,1,0,2,3.5,0,0,0.5,0.5,0,2,3,2,2,3,3,2,3,3,2,3,2,2,3,0,0,0,6,15,21,5,3,5,3,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,4,4,0.56
45990,TZ149,Dar es Salaam,U,-6.872,39.23,-6.866,39.225,0.83,Kilawani 2,Dar Es Salaam,2,8.409,15.99,0.818,0.682,0.682,0.273,0.273,0.227,0,38479562,1.545,0.136,0,0,0,0.136,0.864,22,0.058,369240.591,45990,0,0,0,2,0,2,4,0,0,0,1,0,2,2,3,2,3,3,2,3,3,2,2,3,2,3,0,0,0,3,18,21,5,3,5,3,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,4,3,0.5
45991,TZ150,Dar es Salaam,U,-6.917,39.251,-6.906,39.258,1.49,Mbagala,Dar Es Salaam,2,3.048,4.421,0.783,0.696,0.652,0.478,0.174,0.174,0.043,43457787,2.913,0.565,0,0,0,0.13,0.87,23,0.066,384857.261,45991,0,2,0,0,0,2,2,0,1,0,0,0,1,2,3,1,1,3,2,3,3,1,1,1,1,3,0,0,0,3,17,20,5,4,5,4,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,2,2,0.51
45992,TZ151,Dar es Salaam,U,-6.851,39.273,-6.855,39.278,0.73,Miburani,Dar Es Salaam,3,0.577,2.942,0.867,0.633,0.733,0.8,0.333,0.267,0.5,31926000,1.467,0.1,0,0,0,0,0,30,0.038,451523.933,45992,0,0,2,0,0,2,3,0,0,1,0,0,2,3,2,2,3,1,3,3,3,2,2,2,2,2,0,0,0,0,16,16,5,5,5,5,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,3,3,0.5
45993,TZ152,Dar es Salaam,U,-6.847,39.296,-6.852,39.287,1.12,Kurasini,Dar Es Salaam,2,9.118,12.277,1,0.882,0.824,0.471,0.412,0.176,0.294,17353821,1.941,0.118,0,0,0,0,0,17,0.06,406124.471,45993,0,0,1,1,0,2,3.5,0,0,0.5,0.5,0,2,3,3,2,1,2,2,4,3,2,2,3,2,3,0,0,0,0,18,18,5,4,5,4,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,4,3,0.5
45994,TZ153,Dar es Salaam,U,-6.857,39.248,-6.852,39.256,0.97,Temeke,Dar Es Salaam,3,2.5,4.519,1,0.5,0.857,0.929,0.143,0.071,0.071,16090704,1.714,0.071,0,0,0,0,0,14,0.033,413712.286,45994,0,1,1,0,0,2,2.5,0,0.5,0.5,0,0,2,2,3,1,1,3,1,3,3,2,2,2,2,3,0,0,0,0,12,12,5,4,5,4,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,3,3,0.48
45995,TZ154,Dar es Salaam,U,-6.9,39.268,-6.893,9.258,1.24,Kipara 2,Dar Es Salaam,2,8.696,25.236,0.958,0.875,0.958,0.417,0,0,0,42172944,1.375,0.083,0,0,0,0,0,24,0.028,401296.083,45995,0,0,1,0,1,2,4,0,0,0.5,0,0.5,2,2,3,2,1,2,2,3,3,1,1,2,2,3,0,0,0,0,18,18,5,4,5,4,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,4,3,0.45
45996,TZ155,Dar es Salaam,U,-6.883,39.248,-6.885,39.256,0.96,Msakala,Dar Es Salaam,2,4.909,5.353,0.652,0.696,0.565,0.217,0,0.13,0,43853870,2.043,0.217,0,0,0,0.217,0.783,23,0.073,361361.522,45996,0,0,1,1,0,2,3.5,0,0,0.5,0.5,0,1,2,1,1,1,2,3,3,3,1,3,1,2,3,0,0,0,5,15,20,5,3,5,4,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,4,3,0.49
45997,TZ156,Dar es Salaam,U,-6.893,39.289,-6.889,39.296,0.91,Kijichi,Dar Es Salaam,3,2.857,7.171,0.913,0.739,0.783,0.652,0.261,0.13,0.478,41398068,1.652,0.217,0,0,0,0,0,23,0.056,430201.739,45997,0,0,1,1,0,2,3.5,0,0,0.5,0.5,0,2,3,2,2,3,2,3,3,3,1,3,3,2,1,0,0,0,0,19,19,5,4,5,5,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,4,4,0.56
45998,TZ157,Dar es Salaam,U,-6.92,39.235,-6.908,39.228,1.56,Kitunda Kiyombo,Dar Es Salaam,2,3.125,4.377,0.731,0.654,0.577,0.231,0,0.077,0,75489180,1.923,0.346,0,0,0,0.115,0.885,26,0.061,370773.692,45998,0,0,1,1,0,2,3.5,0,0,0.5,0.5,0,1,3,2,1,1,2,3,3,3,1,2,2,1,1,0,0,0,5,14,19,5,3,5,3,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,4,3,0.48
45999,TZ158,Dar es Salaam,U,-6.887,39.226,-6.884,39.215,1.22,Veta,Dar Es Salaam,2,0.625,1.708,0.688,0.813,0.75,0.375,0.25,0,0,28181600,1.375,0.063,0,0,0,0.125,0.875,16,0.061,381375.188,45999,0,0,0,2,0,2,4,0,0,0,1,0,2,3,2,2,2,3,2,3,3,1,2,3,2,1,0,0,0,2,16,18,5,4,5,4,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,4,4,0.46
46000,TZ159,Lindi,R,-8.488,39.263,-8.501,39.257,1.59,Njia Nne,Lindi,2,14.529,16.125,0.053,0.316,0.053,0,0.474,0.158,0,21112496,3.053,0.368,0.53,0.15,0.474,0.368,0,19,0.09,199362.737,46000,0,0,0,2,0,2,4,0,0,0,1,0,1,2,3,1,2,2,3,3,3,2,3,2,2,3,1,2,8,7,1,19,3,4,3,4,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,4,3,0.5
46001,TZ160,Lindi,R,-8.531,38.939,-8.536,38.921,2.02,Mtondo Wa Kimwaga,Lindi,1,68.4,47.843,0,0.48,0,0,0.2,0.2,0,19567725,3.72,0.48,0.2,0.52,0.2,0.8,0,25,0.076,157397.92,46001,0,0,2,0,0,2,3,0,0,1,0,0,1,2,3,1,1,1,3,2,3,1,1,1,0,1,4,13,4,1,0,22,2,3,2,2,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,3,2,0.61
46002,TZ161,Lindi,R,-9.454,39.439,-9.434,39.446,2.34,Mirumba,Lindi,2,79.765,72.661,0,0.316,0,0,0.263,0.053,0,12454842,3.316,0.421,0.368,0.526,0.15,0,0,19,0.05,144880.053,46002,0,2,0,0,0,2,2,0,1,0,0,0,1,2,3,1,1,1,3,99,3,2,3,2,1,1,7,11,2,0,0,20,2,2,2,2,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,2,2,0.52
46003,TZ162,Lindi,R,-8.717,39.246,-8.719,39.265,2.11,Miteja,Lindi,2,131.25,50.458,0,0.4,0,0,0.667,0,0,6402735,4.2,0.467,0.267,0.267,0.467,0,0,15,0.078,157231.867,46003,0,1,1,0,0,2,2.5,0,0.5,0.5,0,0,1,2,2,2,1,2,3,99,3,2,3,2,2,3,6,9,4,0,0,19,2,2,2,2,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,3,3,0.48
46004,TZ163,Lindi,U,-8.911,39.512,-8.924,39.514,1.43,Kilwa Masoko,Lindi,3,10.789,24.282,0.381,0.619,0.238,0,0.524,0,0,29429652,2.81,0.333,0.19,0.19,0.48,0.19,0.381,21,0.216,249985.524,46004,0,0,2,0,0,2,3,0,0,1,0,0,2,2,3,2,3,2,3,3,3,1,3,3,2,3,4,3,2,4,7,20,3,2,4,2,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,3,3,0.47
46005,TZ164,Lindi,R,-9.747,39.559,-9.729,39.578,2.91,Kilangala,Lindi,1,37.692,33.552,0,0.5,0.071,0,0.429,0.143,0,11046700,2.5,0.429,0.71,0.429,0.214,0.286,0,14,0.099,175289.286,46005,0,2,0,0,0,2,2,0,1,0,0,0,1,2,3,1,2,1,3,1,1,2,2,1,0,3,2,10,3,3,0,18,2,3,2,3,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0,2,2,0.6
46006,TZ165,Lindi,R,-10.307,39.299,-10.328,39.305,2.3,Nyangao,Lindi,3,33.333,18.326,0.458,0.542,0.333,0.042,0.375,0.083,0.042,18916392,1.5,0.167,0,0.83,0.167,0.417,0.333,24,0.168,267285.458,46006,0,1,0,1,0,2,3,0,0.5,0,0.5,0,2,2,1,1,2,2,3,3,3,1,2,1,0,3,0,1,4,8,7,20,4,5,4,5,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,3,3,0.48
46007,TZ166,Lindi,R,-10.48,39.586,-10.487,39.601,1.79,Mandwanga,Lindi,2,82.941,113.675,0,0.368,0,0,0.737,0,0,20093811,2.211,0.211,0.526,0.263,0.211,0,0,19,0.054,146020.316,46007,1,1,0,0,0,2,1.5,0.5,0.5,0,0,0,1,2,1,1,2,1,2,1,3,1,2,2,0,3,10,9,3,0,0,22,2,2,2,2,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,2,2,0.61
46008,TZ167,Lindi,R,-9.954,39.327,-9.958,39.333,0.87,Milola A,Lindi,2,13.929,8.128,0,0.5,0.071,0,0.571,0.143,0,7892444,1.929,0.286,0,0.357,0.143,0.5,0,14,0.112,193471.429,46008,0,2,0,0,0,2,2,0,1,0,0,0,1,2,2,1,2,2,2,1,3,2,2,1,0,3,0,8,4,6,0,18,3,4,3,4,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,2,2,0.58
46009,TZ168,Lindi,U,-10.365,38.772,-10.377,38.763,1.6,Nachingwea,Lindi,2,1,3.162,0.7,0.6,0.7,0.1,0.4,0.4,0.1,3113360,1.2,0,0,0,0,0.3,0.7,10,0.119,343640.1,46009,0,0,1,1,0,2,3.5,0,0,0.5,0.5,0,2,2,2,2,3,2,2,3,3,1,3,2,1,3,0,0,0,7,10,17,5,3,5,3,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,4,3,0.5
46010,TZ169,Lindi,R,-10.307,38.669,-10.306,38.686,1.84,Mitumbati,Lindi,2,64,47.256,0,0.4,0.1,0,0.85,0.1,0.1,16722420,2.6,0.35,0.35,0.25,0.25,0.5,0.1,20,0.172,178795.15,46010,0,2,0,0,0,2,2,0,1,0,0,0,1,2,2,1,2,1,3,99,3,1,3,1,0,3,6,7,6,2,1,22,2,3,2,3,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,2,2,0.53
46011,TZ170,Lindi,R,-10.468,37.971,-10.523,37.992,6.47,Nanjihi,Lindi,2,66.667,42.671,0,0.625,0.083,0,0.833,0,0,17181480,2.458,0.583,0.125,0.542,0.292,0.42,0,24,0.068,159761.542,46011,1,1,0,0,0,2,1.5,0.5,0.5,0,0,0,1,1,3,1,2,1,2,99,1,1,2,2,0,3,4,10,7,1,0,22,2,3,2,3,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,2,2,0.6
46012,TZ171,Lindi,R,-10.423,38.77,-10.405,38.769,1.89,Songambele,Lindi,2,22.143,47.26,0,0.267,0,0,0.533,0,0,9140325,2.933,0.2,0,0.2,0.333,0.467,0,15,0.125,209451.8,46012,0,1,1,0,0,2,2.5,0,0.5,0.5,0,0,1,2,3,1,2,1,2,1,3,1,1,2,0,3,0,5,7,10,0,22,3,4,3,4,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,3,2,0.6
46013,TZ172,Lindi,R,-10.234,38.78,-10.246,38.793,1.85,Rupota,Lindi,2,27.083,18.52,0,0.231,0.077,0,0.615,0,0,12077559,2,0.154,0.385,0,0.462,0.154,0,13,0.114,170692.615,46013,1,1,0,0,0,2,1.5,0.5,0.5,0,0,0,1,2,2,1,2,1,2,1,3,2,2,1,0,3,5,5,7,3,0,20,2,3,3,3,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,2,2,0.59
46014,TZ173,Lindi,R,-9.333,38.104,-9.332,38.093,1.17,Kikulyungu,Lindi,2,51.739,36.012,0,0.609,0.087,0,0.609,0,0,16277744,2.13,0.435,0.174,0.435,0.13,0.261,0,23,0.154,170718.696,46014,1,1,0,0,0,2,1.5,0.5,0.5,0,0,0,1,2,2,1,2,1,2,99,1,1,1,2,0,3,3,12,3,3,0,21,2,3,2,3,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,2,2,0.61
46015,TZ174,Lindi,R,-10.036,39.034,-10.058,38.999,4.36,Mandarawe,Lindi,1,49.583,26.753,0,0.2,0,0,0.4,0.067,0,12112845,1.8,0.2,0.333,0.4,0.2,0.67,0,15,0.079,153649.667,46015,0,2,0,0,0,2,2,0,1,0,0,0,1,2,2,1,2,1,3,1,3,1,2,2,0,3,6,8,6,1,0,21,2,3,2,3,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,2,2,0.55
46016,TZ175,Lindi,U,-10.18,38.941,-10.181,38.939,0.31,Nkowe,Lindi,2,52.813,43.435,0,0.526,0,0,0.526,0.105,0,9979655,1.474,0.263,0.15,0.211,0.158,0.526,0,19,0.15,211815.474,46016,0,1,0,1,0,2,3,0,0.5,0,0.5,0,1,2,3,1,1,1,3,99,3,1,2,2,0,3,3,4,4,9,0,20,3,1,3,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,3,2,0.59
46017,TZ176,Lindi,R,-10.052,38.87,-10.048,38.875,0.75,Liuguru,Lindi,2,123.667,153.953,0,0.438,0,0,0.688,0.063,0,8989968,3.063,0.625,0.188,0.438,0.25,0.125,0,16,0.085,164279.938,46017,0,1,1,0,0,2,2.5,0,0.5,0.5,0,0,1,2,3,1,2,1,3,99,3,1,2,2,1,3,4,7,5,3,0,19,2,3,2,3,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,3,2,0.56
46018,TZ177,Lindi,R,-9.97,38.954,-9.983,38.962,1.71,Mbekenyera,Lindi,2,35.667,34.376,0,0.4,0,0,0.6,0,0,12325590,2.6,0.533,0,0.267,0.667,0.67,0,15,0.053,174326.8,46018,0,1,1,0,0,2,2.5,0,0.5,0.5,0,0,1,2,1,1,2,2,1,3,1,2,2,2,1,3,0,4,13,3,0,20,3,4,3,4,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,3,2,0.45
46019,TZ178,Lindi,U,-9.916,39.735,-9.913,39.729,0.74,Mitwero,Lindi,3,127.762,214.836,0.208,0.375,0.292,0.25,0.417,0.125,0.125,13497696,1.958,0.25,0,0.125,0.375,0.83,0.417,24,0.235,269141.958,46019,0,0,2,0,0,2,3,0,0,1,0,0,1,2,2,1,2,1,2,2,3,2,3,2,0,1,0,3,6,1,11,21,4,3,5,3,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,3,2,0.49
46020,TZ179,Lindi,U,-10.102,39.63,-10.104,39.618,1.42,Mingoyo,Lindi,2,40.385,138.149,0.438,0.5,0.375,0.125,0.25,0,0,9530592,2.188,0.438,0,0.63,0.25,0.313,0.375,16,0.182,275467,46020,0,0,2,0,0,2,3,0,0,1,0,0,2,2,2,2,3,2,3,3,3,2,2,2,0,1,1,2,3,5,9,20,4,2,4,2,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,3,3,0.49
46021,TZ180,Mtwara,R,-10.593,40.045,-10.504,40.046,9.79,Nanguruwe,Mtwara,1,43.267,62.112,0,0.556,0,0,0.611,0,0,18804258,2.778,0.278,0.278,0.222,0.444,0.56,0,18,0.073,160633.278,46021,1,0,1,0,0,2,2,0.5,0,0.5,0,0,1,3,2,1,2,1,2,1,3,1,1,1,0,1,6,6,8,1,0,21,2,3,2,3,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,2,2,0.61
