Cluster_code,URBAN_RURAC254,fidN200_A,hv270_1_poorest,hv270_2_poor,hv270_3_middle,hv270_4_rich,hv270_5_richest,household_total,mean_score270_comb_R_U,mean270_R_U_separated,median_score_comb_R_U_270,median270a_U_R_separated
TZ064,R,45905,5.00,7.00,5.00,3.00,0.00,20.00,2.00,3.00,2.00,3.00
TZ065,R,45906,3.00,12.00,6.00,1.00,0.00,22.00,2.00,3.00,2.00,3.00
TZ066,R,45907,0.00,7.00,6.00,8.00,1.00,22.00,3.00,4.00,3.00,4.00
TZ067,R,45908,13.00,3.00,4.00,2.00,0.00,22.00,2.00,2.00,1.00,1.00
TZ068,R,45909,0.00,0.00,0.00,3.00,17.00,20.00,5.00,5.00,5.00,5.00
TZ069,R,45910,0.00,3.00,11.00,8.00,0.00,22.00,3.00,4.00,3.00,4.00
TZ070,U,45911,0.00,0.00,0.00,2.00,20.00,22.00,5.00,4.00,5.00,4.00
TZ071,U,45912,2.00,0.00,2.00,9.00,8.00,21.00,4.00,3.00,4.00,2.00
TZ072,U,45913,1.00,2.00,0.00,5.00,12.00,20.00,4.00,3.00,5.00,3.00
TZ073,R,45914,1.00,8.00,7.00,5.00,0.00,21.00,3.00,4.00,3.00,4.00
TZ074,R,45915,1.00,10.00,7.00,2.00,2.00,22.00,3.00,3.00,3.00,3.00
